filepath,result,fluent
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_10.wav, they speak,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_10.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_11.wav,that we deal with known as stuttering,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_11.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_12.wav,the fluency,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_12.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_14.wav, I had so many,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_14.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_15.wav,of the things that,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_15.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_16.wav,each time I avoided a trouble,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_16.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_17.wav, many ways that,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_17.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_18.wav,on word substituted,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_18.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_19.wav,and so I was filled,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_19.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_20.wav,it was a huge temptation,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_20.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_22.wav,and when I was a very young police,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_22.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_24.wav,working with me every day,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_24.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_25.wav,prostatic devices,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_25.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_26.wav,that Im hearing from you now,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_26.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_28.wav, half a century,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_28.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_29.wav, how much money,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_29.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_31.wav,and after about,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_31.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_32.wav,let me see after about,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_32.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_33.wav,I vowed that I would never,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_33.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_34.wav,but it all changed,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_34.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_35.wav,explain to you,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_35.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_36.wav, increased to more than 300,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_36.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_37.wav,well one person,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_37.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_38.wav,one situation,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_38.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_39.wav,your greatest fears,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_39.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_2.wav,one understands that,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_2.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_3.wav,when you were younger,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_3.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_4.wav, and fight every single day,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_4.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_9.wav, I was standing frail and,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_9.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_14.wav,that I like one those,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_14.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_15.wav, actually,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_15.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_16.wav,she is completely fluent,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_16.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_22.wav, and,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_22.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_23.wav,and how do you think that she,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_23.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_25.wav,without a,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_25.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_26.wav,be there she actually spoke on to great,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_26.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_32.wav, what was her,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_32.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_33.wav, well,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_33.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_36.wav,and ask me to,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_36.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_38.wav,go to,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_38.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_39.wav, so I ended up,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_39.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_43.wav,with him and shes like oh,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_43.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_49.wav, experience,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_49.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_50.wav, so shes been great,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_50.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_52.wav,married we said,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_52.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_57.wav, change,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_57.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_59.wav, once so you know,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_59.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_63.wav, theyre made there,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_63.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_66.wav,interfered with your,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_66.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_67.wav,and do,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_67.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_70.wav,do it and Im not you,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_70.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_75.wav, completely,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_75.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_77.wav,being a person who,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_77.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_78.wav,dutters,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_78.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_82.wav, earlier,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_82.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_86.wav, itself and,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_86.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_87.wav,and after you become,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_87.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_88.wav, comfortable with,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_88.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_91.wav, focus,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_91.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_96.wav, and weve had a few,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_96.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_99.wav,message to get out there so,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_99.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_101.wav,thank you for,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_101.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_103.wav, another high five and a hug,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_103.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_105.wav, and we have guys who are,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_105.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_107.wav,it just makes a really big,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_107.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_108.wav,difference so I wouldnt say,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_108.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_109.wav, I,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_109.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_110.wav, out of now we dont really,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_110.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_113.wav,they found,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_113.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_116.wav, school there and one day,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_116.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_118.wav, so yeah,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_118.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_121.wav,what was it that like changed your life,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_121.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_122.wav,whoa,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_122.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_125.wav, there,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_125.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_128.wav, group and,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_128.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_131.wav,growing up but then I met all,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_131.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_132.wav,people who have,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_132.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_134.wav,it was nice to walk into,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_134.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_135.wav, they are doing like,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_135.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_137.wav, that you wish,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_137.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_140.wav, privately for so long,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_140.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_142.wav, I watch all three of them,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_142.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_145.wav, strength of these groups,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_145.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_149.wav, to grow and yell,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_149.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_150.wav, it,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_150.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_155.wav, Fort Worth and had no idea,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_155.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_156.wav,you have to get him to come,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_156.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_159.wav,chapter and she ran into,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_159.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_160.wav, she ran into a,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_160.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_161.wav, Stephen,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_161.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_162.wav,Coffman,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_162.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_163.wav,and then he found me in,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_163.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_165.wav, at first,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_165.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_166.wav, that we,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_166.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_168.wav,structured group so I kind of like,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_168.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_169.wav, change it we tend to talk about,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_169.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_171.wav,things we do,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_171.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_176.wav,comfortable but I was not,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_176.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_178.wav, and how you could best,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_178.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_179.wav,how you,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_179.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_180.wav,turned out it into a,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_180.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_181.wav,positive,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_181.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_183.wav, kind of all over the,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_183.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_186.wav,people who,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_186.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_187.wav,they had only been,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_187.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_188.wav, spent quite a lot of,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_188.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_189.wav,Im on that cuz theyre dying,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_189.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_191.wav, Howard was for them there,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_191.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_192.wav,they learned and all that stuff and,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_192.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_195.wav,Therapy which is something I was,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_195.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_196.wav,with my speech I was,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_196.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_199.wav,so I would have to like write my name,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_199.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_200.wav,and then my piece of,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_200.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_201.wav, paper but then,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_201.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_206.wav, terrible you just yell,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_206.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_213.wav,that kind of thing,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_213.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_215.wav, have done just to kind of like,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_215.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_216.wav, it in,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_216.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_221.wav,great thing I would not,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_221.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_225.wav, start over,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_225.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_228.wav,thats not easy either,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_228.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_230.wav,teachers were they,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_230.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_231.wav, one group you know change my,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_231.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_232.wav,whoa life like,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_232.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_233.wav,portive,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_233.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_234.wav, most of them were but,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_1_234.wav
